"Event","City","State","Country","Full_Location","Count","Percentage"
"2025 Soil Health Conference","Volga","SD","USA","Volga, SD, USA",2,0.51
"2025 Soil Health Conference","White","SD","USA","White, SD, USA",2,0.51
"2025 Soil Health Conference","","IL","USA",", IL, USA",1,0.26
"2025 Soil Health Conference","","NE","USA",", NE, USA",1,0.26
"2025 Soil Health Conference","Ames","IA","USA","Ames, IA, USA",1,0.26
"2025 Soil Health Conference","Armour","SD","USA","Armour, SD, USA",1,0.26
"2025 Soil Health Conference","Battle Lake","MN","USA","Battle Lake, MN, USA",1,0.26
"2025 Soil Health Conference","Benson","MN","USA","Benson, MN, USA",1,0.26
"2025 Soil Health Conference","Big Stone City","SD","USA","Big Stone City, SD, USA",1,0.26
"2025 Soil Health Conference","Bisbee","ND","USA","Bisbee, ND, USA",1,0.26
"2025 Soil Health Conference","Chicago","IL","USA","Chicago, IL, USA",1,0.26
"2025 Soil Health Conference","De Smet","SD","USA","De Smet, SD, USA",1,0.26
"2025 Soil Health Conference","Elkhorn","NE","USA","Elkhorn, NE, USA",1,0.26
"2025 Soil Health Conference","Garretson","SD","USA","Garretson, SD, USA",1,0.26
"2025 Soil Health Conference","Grand Junction","CO","USA","Grand Junction, CO, USA",1,0.26
"2025 Soil Health Conference","Hayward","MN","USA","Hayward, MN, USA",1,0.26
"2025 Soil Health Conference","Hazen","ND","USA","Hazen, ND, USA",1,0.26
"2025 Soil Health Conference","Howard","SD","USA","Howard, SD, USA",1,0.26
"2025 Soil Health Conference","Huron","SD","USA","Huron, SD, USA",1,0.26
"2025 Soil Health Conference","Ipswich","SD","USA","Ipswich, SD, USA",1,0.26
"2025 Soil Health Conference","Jefferson City","MO","USA","Jefferson City, MO, USA",1,0.26
"2025 Soil Health Conference","Kranzburg","SD","USA","Kranzburg, SD, USA",1,0.26
"2025 Soil Health Conference","Lincoln","NE","USA","Lincoln, NE, USA",1,0.26
"2025 Soil Health Conference","Merrill","IA","USA","Merrill, IA, USA",1,0.26
"2025 Soil Health Conference","Milwaukee","WI","USA","Milwaukee, WI, USA",1,0.26
"2025 Soil Health Conference","Morris","MN","USA","Morris, MN, USA",1,0.26
"2025 Soil Health Conference","Onawa","IA","USA","Onawa, IA, USA",1,0.26
"2025 Soil Health Conference","Ruthven","IA","USA","Ruthven, IA, USA",1,0.26
"2025 Soil Health Conference","Spearfish","SD","USA","Spearfish, SD, USA",1,0.26
"2025 Soil Health Conference","Veblen","SD","USA","Veblen, SD, USA",1,0.26
"2025 Soil Health Conference","Zagazig","SHR","EG","Zagazig, SHR, EG",1,0.26
